ID,Male,Age,College,AgeTryCig,CigDays,AgeTryAlc,AlcDays,Drinker,DrinkFreq
477,0,16,0,16,1,16,0,0,0
478,1,15,0,15,7,13,1,1,1
479,0,12,0,16,4,16,0,0,0
480,1,28,1,18,30,13,4,1,1
481,1,17,0,13,30,13,25,1,2
482,0,27,0,18,0,11,0,0,0
483,1,12,0,16,0,14,0,0,0
484,1,37,0,18,20,18,5,1,1
485,1,47,1,18,0,18,0,0,0
486,1,57,0,15,16,15,1,1,1
487,0,29,1,16,4,16,10,1,2
488,1,29,0,16,30,16,2,1,1
489,0,17,0,16,0,16,0,0,0
490,0,12,0,16,0,16,0,0,0
491,0,33,1,18,0,12,0,0,0
492,0,47,1,19,0,19,0,0,0
493,1,26,0,16,0,16,0,0,0
494,0,27,0,17,15,16,4,1,1
495,1,30,0,13,30,10,0,0,0
496,0,52,1,20,0,18,6,1,1
497,1,28,1,18,30,16,1,1,1
498,1,16,0,16,0,15,8,1,2
499,0,17,0,16,0,14,0,0,0
500,0,18,0,16,0,16,0,0,0
501,1,15,0,14,6,13,0,0,0
502,0,52,1,19,0,19,0,0,0
503,0,17,0,16,0,16,0,0,0
504,0,72,0,18,0,22,0,0,0
505,0,48,1,20,0,17,30,1,2
506,0,26,0,17,0,17,0,0,0
507,0,63,0,14,15,14,0,0,0
508,0,33,1,18,0,19,0,0,0
509,0,30,1,18,0,18,2,1,1
510,1,14,0,15,0,12,0,0,0
511,0,21,0,14,5,16,5,1,1
512,0,47,1,23,30,16,8,1,2
513,1,17,0,16,15,15,4,1,1
514,0,48,1,18,0,16,6,1,1
515,0,44,1,18,0,18,3,1,1
516,0,30,1,18,0,19,0,0,0
517,0,85,1,24,13,25,3,1,1
518,0,15,0,16,0,16,0,0,0
519,0,37,0,17,30,18,0,0,0
520,0,29,1,19,5,17,2,1,1
521,1,13,0,16,0,14,0,0,0
522,0,18,0,16,0,15,0,0,0
523,1,31,0,16,30,17,1,1,1
524,0,17,0,16,0,17,3,1,1
525,0,50,1,19,0,18,7,1,1
526,1,26,1,18,0,21,0,0,0
527,1,20,1,17,5,17,0,0,0
528,0,21,1,18,30,17,15,1,2
529,1,85,0,19,0,12,0,0,0
530,0,23,1,16,0,12,4,1,1
531,1,23,1,16,0,13,12,1,2
532,0,21,1,17,4,17,0,0,0
533,0,20,1,17,0,16,0,0,0
534,0,12,0,16,0,16,0,0,0
535,1,17,0,14,30,13,15,1,2
536,1,67,0,17,18,19,4,1,1
537,0,77,0,21,0,18,0,0,0
538,0,27,1,19,4,17,4,1,1
539,1,20,1,16,0,16,0,0,0
540,0,33,0,17,30,20,0,0,0
541,1,27,0,16,30,16,2,1,1
542,1,15,0,15,15,14,3,1,1
543,1,62,1,20,0,18,3,1,1
544,1,47,0,15,13,15,4,1,1
545,1,44,1,18,0,17,0,0,0
546,0,51,1,20,0,21,3,1,1
547,1,36,0,18,30,15,30,1,2
548,0,32,0,18,0,23,1,1,1
549,1,32,1,17,0,15,3,1,1
550,1,15,0,16,0,15,0,0,0
551,1,23,0,16,0,15,0,0,0
552,1,43,0,18,0,18,6,1,1
553,0,45,0,19,0,20,0,0,0
554,0,37,0,17,0,16,0,0,0
555,0,48,0,20,0,25,0,0,0
556,1,68,0,20,0,21,0,0,0
557,0,77,0,22,0,24,0,0,0
558,0,29,0,16,30,16,0,0,0
559,0,34,1,31,30,18,3,1,1
560,1,16,0,15,30,16,0,0,0
561,1,51,0,13,0,14,0,0,0
562,1,35,0,16,30,17,0,0,0
563,0,23,1,17,4,16,0,0,0
564,1,14,0,13,6,13,0,0,0
565,1,49,0,18,0,16,0,0,0
566,0,25,1,20,0,18,0,0,0
567,1,16,0,15,0,12,0,0,0
568,0,30,0,13,30,16,0,0,0
569,0,17,0,15,4,14,4,1,1
570,0,14,0,16,0,16,0,0,0
571,0,17,0,16,0,16,0,0,0
572,1,37,0,17,0,17,0,0,0
573,0,24,1,16,0,13,0,0,0
574,0,50,0,30,30,18,0,0,0
575,1,14,0,16,0,15,0,0,0
576,0,33,1,18,0,17,0,0,0
577,0,32,1,17,0,17,0,0,0
578,1,34,1,18,10,18,0,0,0
579,1,31,1,17,0,16,0,0,0
580,1,25,1,17,5,15,0,0,0
581,0,55,0,21,30,20,0,0,0
582,0,46,0,13,0,13,1,1,1
583,1,67,0,19,0,10,0,0,0
584,0,38,0,16,7,18,0,0,0
585,0,17,0,16,4,16,0,0,0
586,0,13,0,15,0,10,0,0,0
587,0,20,1,20,4,20,3,1,1
588,0,12,0,16,0,16,0,0,0
589,1,47,1,17,30,14,0,0,0
590,0,28,1,17,0,15,5,1,1
591,0,27,0,17,0,17,0,0,0
592,0,19,0,16,20,16,0,0,0
593,0,40,1,21,1,38,1,1,1
594,1,16,0,15,3,12,2,1,1
595,0,14,0,16,0,16,0,0,0
596,1,35,0,13,30,15,9,1,2
597,0,36,0,17,0,14,1,1,1
598,0,39,0,14,30,28,0,0,0
599,1,30,1,18,10,20,1,1,1
600,1,13,0,16,0,15,0,0,0
601,0,22,0,17,0,16,0,0,0
602,1,23,0,17,0,19,0,0,0
